Content Type,Extracted Data,Extra Info / Link
Link,"CBSE Class 10 Result 2026 LIVE: Result To Be Out Anytime Soon, Check Here",https://www.ndtv.com/education/cbse-class-10th-result-2026-live-updates-result-direct-link-toppers-list-download-scorecard-check-pass-percentage-marks-11358874?pfrom=home-ndtv_topstories
Link,"Bengaluru Woman Smothers 13-Year-Old Daughter, Then Dies By Suicide: Cops",https://www.ndtv.com/bangalore-news/woman-smothers-13-year-old-daughter-then-dies-by-suicide-bengaluru-cops-11357410?pfrom=home-ndtv_topstories
Link,$435 Million: Iran's Estimated Per-Day Loss Due To US' Hormuz Blockade,https://www.ndtv.com/world-news/us-iran-war-news-435-million-irans-estimated-per-day-loss-due-to-uss-hormuz-blockade-11354309?pfrom=home-ndtv_topstories
Link,"KKR So Bad, They Would Be Relegated In Another 'Premier League'",https://sports.ndtv.com/ipl-2026/kolkata-knight-riders-still-part-of-ipl-2026-as-theres-no-relegation-clause-11358817?pfrom=home-ndtv_lateststories
Link,"MPBSE 10th, 12th Results 2026 At 11 am: Check Official Website, Direct Link",https://www.ndtv.com/education/mpbse-10th-12th-results-2026-check-official-website-direct-link-to-download-11359047?pfrom=home-ndtv_lateststories
Link,"'I Was F**ked, Like A Dead Body': Samay Raina On India's Got Latent Row",https://www.ndtv.com/entertainment/i-was-f-ked-like-a-dead-body-samay-raina-opens-up-about-indias-got-latent-row-days-after-viral-still-alive-set-11359221?pfrom=home-ndtv_lateststories
Link,Vikram Bhatt Recalls Health Scare In Udaipur Jail: 'Don't Want To Die Here',https://www.ndtv.com/entertainment/vikram-bhatt-recalls-health-scare-in-udaipur-jail-after-he-was-arrested-in-rs-44-crore-cheating-case-dont-want-to-die-here-11359188?pfrom=home-ndtv_lateststories
Link,Why Dhurandhar 2 Trainer Calls Katrina Kaif 'Hrithik Roshan's Female Version',https://www.ndtv.com/lifestyle/why-dhurandhar-2-actor-trainer-mustafa-ahmed-calls-katrina-kaif-hrithik-roshans-female-version-11359209?pfrom=home-ndtv_lateststories
Link,Strait Of Hormuz: Why US And Iran Are Sailing In Very Different Legal Waters,https://www.ndtv.com/world-news/us-iran-israel-war-why-the-strait-of-hormuz-means-different-things-to-the-us-and-iran-middle-east-conflict-11358734?pfrom=home-ndtv_lateststories
Link,"""Just There For Style"": Riyan Parag Blasted Yet Again By World Cup-Winner",https://sports.ndtv.com/ipl-2026/just-there-for-style-riyan-parag-blasted-yet-again-by-world-cup-winner-kris-srikkanth-11354825?pfrom=home-ndtv_lateststories
Link,"Startup Founder Builds 24 AI Systems To Replace ""Unprofessional"" Staff",https://www.ndtv.com/feature/startup-founder-builds-24-ai-systems-in-72-hours-to-replace-unprofessional-staff-11358816?pfrom=home-ndtv_lateststories
